date,price
2020-11-12,151.4
2020-11-13,151.08
2020-11-16,152.91
2020-11-17,157.16
2020-11-18,156.56
2020-11-19,155.96
2020-11-20,160.46
2020-11-23,162.74
2020-11-24,161.43
2020-11-25,163.07
2020-11-26,161.78
2020-11-27,160.48
2020-11-30,161.25
2020-12-01,155.76
2020-12-02,150.98
2020-12-03,149.52
2020-12-04,146.85
2020-12-07,147.74
2020-12-08,145.38
2020-12-09,141.75
2020-12-10,145.54
2020-12-11,145.01
2020-12-14,145.24
2020-12-15,141.58
2020-12-16,140.25
2020-12-17,140.58
2020-12-18,137.73
2020-12-21,138.71
2020-12-22,137.27
2020-12-23,136.6
2020-12-24,135.18
2020-12-25,139.74
2020-12-28,139.76
2020-12-29,137.16
2020-12-30,139.24
2020-12-31,136.24
2021-01-01,136.8
2021-01-04,132.03
2021-01-05,128.93
2021-01-06,129.44
2021-01-07,131.21
2021-01-08,131.67
2021-01-11,131.45
2021-01-12,130.79
2021-01-13,127.36
2021-01-14,125.76
2021-01-15,124.77
2021-01-18,127.19
2021-01-19,128.03
2021-01-20,124.02
2021-01-21,124.79
2021-01-22,123.97
2021-01-25,122.51
2021-01-26,123.91
2021-01-27,126.26
2021-01-28,128.43
2021-01-29,126.54
2021-02-01,125.88
2021-02-02,126.69
2021-02-03,128.96
2021-02-04,127.9
2021-02-05,127.52
2021-02-08,125.04
2021-02-09,122.39
2021-02-10,124.23
2021-02-11,127.31
2021-02-12,127.2
2021-02-15,129.55
2021-02-16,130.44
2021-02-17,128.98
2021-02-18,129.87
2021-02-19,133.52
2021-02-22,133.49
2021-02-23,137.3
2021-02-24,130.88
2021-02-25,132.87
2021-02-26,133.13
2021-03-01,132.47
2021-03-02,132.74
2021-03-03,128.04
2021-03-04,127.59
2021-03-05,128.46
2021-03-08,131.93
2021-03-09,130.75
2021-03-10,128.9
2021-03-11,127.79
2021-03-12,129.94
2021-03-15,130.76
2021-03-16,129.57
2021-03-17,130.82
2021-03-18,131.1
2021-03-19,133.44
2021-03-22,131.81
2021-03-23,131.08
2021-03-24,130.21
2021-03-25,126.83
2021-03-26,127.56
2021-03-29,128.21
2021-03-30,128.27
2021-03-31,127.78
2021-04-01,124.58
2021-04-02,123.68
2021-04-05,122.97
2021-04-06,121.24
2021-04-07,120.94
2021-04-08,121.87
2021-04-09,126.05
2021-04-12,126.5
2021-04-13,127.14
2021-04-14,127.02
2021-04-15,122.68
2021-04-16,122.67
2021-04-19,122.85
2021-04-20,128.35
2021-04-21,127.96
2021-04-22,128.7
2021-04-23,128.67
2021-04-26,126.02
2021-04-27,128.66
2021-04-28,130.45
2021-04-29,132.36
2021-04-30,130.25
2021-05-03,133.59
2021-05-04,130.27
2021-05-05,131.7
2021-05-06,136.95
2021-05-07,134.56
2021-05-10,133.24
2021-05-11,133.53
2021-05-12,132.38
2021-05-13,128.74
2021-05-14,128.95
2021-05-17,126.53
2021-05-18,127.66
2021-05-19,125.6
2021-05-20,129.15
2021-05-21,127.38
2021-05-24,126.7
2021-05-25,128.6
2021-05-26,125.8
2021-05-27,126.37
2021-05-28,129.39
2021-05-31,125.7
2021-06-01,126.17
2021-06-02,126.81
2021-06-03,128.65
2021-06-04,125.83
2021-06-07,122.89
2021-06-08,124.1
2021-06-09,124.81
2021-06-10,125.42
2021-06-11,126.25
2021-06-14,124.76
2021-06-15,125.33
2021-06-16,126.04
2021-06-17,124.47
2021-06-18,128.7
2021-06-21,129.85
2021-06-22,127.12
2021-06-23,128.67
2021-06-24,126.47
2021-06-25,128.31
2021-06-28,131.04
2021-06-29,129.15
2021-06-30,131.44
2021-07-01,132.47
2021-07-02,134.49
2021-07-05,139.13
2021-07-06,138.57
2021-07-07,136.75
2021-07-08,134.61
2021-07-09,132.69
2021-07-12,132.56
2021-07-13,133.43
2021-07-14,134.14
2021-07-15,136.19
2021-07-16,136.28
2021-07-19,139.9
2021-07-20,139.29
2021-07-21,146.17
2021-07-22,147.87
2021-07-23,145.65
2021-07-26,142.9
2021-07-27,144.2
2021-07-28,143.68
2021-07-29,145.58
2021-07-30,146.88
2021-08-02,146.74
2021-08-03,144.57
2021-08-04,140.68
2021-08-05,139.61
2021-08-06,141.82
2021-08-09,142.42
2021-08-10,139.28
2021-08-11,139.77
2021-08-12,140.8
2021-08-13,138.61
2021-08-16,139.05
2021-08-17,139.25
2021-08-18,136.44
2021-08-19,137.38
2021-08-20,138.82
2021-08-23,141.58
2021-08-24,144.32
2021-08-25,140.8
2021-08-26,138.48
2021-08-27,139.82
2021-08-30,141.17
2021-08-31,142.54
2021-09-01,152.48
2021-09-02,154.1
2021-09-03,157.32
2021-09-06,160.08
2021-09-07,162.02
2021-09-08,161.17
2021-09-09,163.43
2021-09-10,161.22
2021-09-13,160.6
2021-09-14,159.26
2021-09-15,159.56
2021-09-16,166.27
2021-09-17,160.75
2021-09-20,162.8
2021-09-21,158.14
2021-09-22,156.86
2021-09-23,160.0
2021-09-24,160.25
2021-09-27,157.2
2021-09-28,155.24
2021-09-29,157.2
2021-09-30,155.2
2021-10-01,155.87
2021-10-04,156.06
2021-10-05,154.29
2021-10-06,160.3
2021-10-07,162.2
2021-10-08,156.35
2021-10-11,156.94
2021-10-12,155.13
2021-10-13,157.57
2021-10-14,155.39
2021-10-15,155.13
2021-10-18,156.6
2021-10-19,159.1
2021-10-20,155.73
2021-10-21,154.85
2021-10-22,153.59
2021-10-25,151.85
2021-10-26,156.73
2021-10-27,157.94
2021-10-28,154.42
2021-10-29,157.03
2021-11-01,163.09
2021-11-02,166.19
2021-11-03,161.71
2021-11-04,160.36
2021-11-05,164.09
2021-11-08,162.06
2021-11-09,163.42
2021-11-10,165.76
2021-11-11,163.07
2021-11-12,162.96
2021-11-15,153.51
2021-11-16,150.74
2021-11-17,150.12
2021-11-18,146.81
2021-11-19,151.18
2021-11-22,147.35
2021-11-23,146.24
2021-11-24,146.64
2021-11-25,150.51
2021-11-26,146.68
2021-11-29,149.81
2021-11-30,149.89
2021-12-01,147.31
2021-12-02,148.59
2021-12-03,149.18
2021-12-06,147.63
2021-12-07,147.87
2021-12-08,146.91
2021-12-09,147.27
2021-12-10,149.08
2021-12-13,153.4
2021-12-14,150.04
2021-12-15,155.86
2021-12-16,150.45
2021-12-17,150.1
2021-12-20,151.75
2021-12-21,152.57
2021-12-22,150.92
2021-12-23,150.42
2021-12-24,149.14
2021-12-27,147.62
2021-12-28,149.94
2021-12-29,150.96
2021-12-30,149.14
2021-12-31,151.61
2022-01-03,152.51
2022-01-04,154.81
2022-01-05,156.62
2022-01-06,154.35
2022-01-07,152.85
2022-01-10,154.97
2022-01-11,156.74
2022-01-12,156.74
2022-01-13,157.13
2022-01-14,160.81
2022-01-17,159.16
2022-01-18,160.79
2022-01-19,160.27
2022-01-20,159.71
2022-01-21,162.93
2022-01-24,165.42
2022-01-25,167.9
2022-01-26,171.92
2022-01-27,172.05
2022-01-28,174.23
2022-01-31,173.33
2022-02-01,174.41
2022-02-02,174.07
2022-02-03,174.44
2022-02-04,176.38
2022-02-07,173.86
2022-02-08,180.47
2022-02-09,177.28
2022-02-10,173.47
2022-02-11,177.16
2022-02-14,179.75
2022-02-15,181.85
2022-02-16,183.97
2022-02-17,184.01
2022-02-18,181.11
2022-02-21,181.43
2022-02-22,179.29
2022-02-23,182.51
2022-02-24,182.1
2022-02-25,179.47
2022-02-28,178.5
2022-03-01,179.9
2022-03-02,178.14
2022-03-03,175.58
2022-03-04,176.42
2022-03-07,177.27
2022-03-08,175.72
2022-03-09,174.3
2022-03-10,175.1
2022-03-11,170.61
2022-03-14,166.35
2022-03-15,164.27
2022-03-16,163.7
2022-03-17,164.68
2022-03-18,169.12
2022-03-21,171.8
2022-03-22,171.37
2022-03-23,171.38
2022-03-24,168.36
2022-03-25,168.37
2022-03-28,167.56
2022-03-29,168.6
2022-03-30,166.16
2022-03-31,167.78
2022-04-01,172.48
2022-04-04,172.21
2022-04-05,173.52
2022-04-06,175.75
2022-04-07,174.55
2022-04-08,175.32
2022-04-11,175.43
2022-04-12,175.81
2022-04-13,173.44
2022-04-14,173.58
2022-04-15,175.21
2022-04-18,179.85
2022-04-19,183.03
2022-04-20,190.2
2022-04-21,187.65
2022-04-22,190.67
2022-04-25,191.37
2022-04-26,198.99
2022-04-27,196.18
2022-04-28,193.29
2022-04-29,191.28
2022-05-02,184.05
2022-05-03,182.38
2022-05-04,179.96
2022-05-05,180.52
2022-05-06,181.7
2022-05-09,187.91
2022-05-10,191.2
2022-05-11,189.29
2022-05-12,186.31
2022-05-13,188.03
2022-05-16,183.64
2022-05-17,189.76
2022-05-18,193.87
2022-05-19,192.31
2022-05-20,186.46
2022-05-23,191.07
2022-05-24,190.76
2022-05-25,195.08
2022-05-26,189.56
2022-05-27,187.59
2022-05-30,187.69
2022-05-31,187.92
2022-06-01,186.47
2022-06-02,188.64
2022-06-03,185.09
2022-06-06,184.69
2022-06-07,185.16
2022-06-08,186.95
2022-06-09,189.42
2022-06-10,185.66
2022-06-13,180.61
2022-06-14,184.83
2022-06-15,186.01
2022-06-16,183.58
2022-06-17,188.78
2022-06-20,189.25
2022-06-21,193.34
2022-06-22,193.65
2022-06-23,200.92
2022-06-24,207.34
2022-06-27,206.5
2022-06-28,210.19
2022-06-29,212.72
2022-06-30,218.04
2022-07-01,214.34
2022-07-04,217.08
2022-07-05,221.3
2022-07-06,214.38
2022-07-07,209.9
2022-07-08,202.28
2022-07-11,201.38
2022-07-12,204.06
2022-07-13,209.66
2022-07-14,210.03
2022-07-15,216.27
2022-07-18,210.98
2022-07-19,204.6
2022-07-20,204.47
2022-07-21,205.97
2022-07-22,205.93
2022-07-25,198.35
2022-07-26,198.11
2022-07-27,193.54
2022-07-28,195.95
2022-07-29,197.32
2022-08-01,194.06
2022-08-02,192.34
2022-08-03,188.75
2022-08-04,188.61
2022-08-05,191.93
2022-08-08,188.6
2022-08-09,190.39
2022-08-10,188.65
2022-08-11,186.03
2022-08-12,185.75
2022-08-15,182.36
2022-08-16,180.62
2022-08-17,176.8
2022-08-18,183.12
2022-08-19,183.31
2022-08-22,181.07
2022-08-23,181.84
2022-08-24,181.55
2022-08-25,180.9
2022-08-26,182.97
2022-08-29,185.54
2022-08-30,183.84
2022-08-31,182.01
2022-09-01,181.18
2022-09-02,173.75
2022-09-05,169.08
2022-09-06,173.3
2022-09-07,178.5
2022-09-08,177.78
2022-09-09,179.69
2022-09-12,180.77
2022-09-13,190.86
2022-09-14,194.78
2022-09-15,194.41
2022-09-16,191.15
2022-09-19,185.7
2022-09-20,186.45
2022-09-21,183.99
2022-09-22,179.35
2022-09-23,177.33
2022-09-26,173.95
2022-09-27,179.31
2022-09-28,182.22
2022-09-29,182.27
2022-09-30,187.2
2022-10-03,187.53
2022-10-04,184.7
2022-10-05,189.84
2022-10-06,191.76
2022-10-07,188.25
2022-10-10,187.68
2022-10-11,184.8
2022-10-12,180.27
2022-10-13,183.35
2022-10-14,189.73
2022-10-17,185.03
2022-10-18,186.98
2022-10-19,184.86
2022-10-20,183.31
2022-10-21,181.43
2022-10-24,178.68
2022-10-25,178.91
2022-10-26,176.31
2022-10-27,177.24
2022-10-28,177.15
2022-10-31,176.45
2022-11-01,173.64
2022-11-02,171.91
2022-11-03,174.32
2022-11-04,175.96
2022-11-07,172.93
2022-11-08,173.31
2022-11-09,175.72
2022-11-10,170.51
2022-11-11,172.25
2022-11-14,170.26
2022-11-15,172.08
2022-11-16,169.78
2022-11-17,164.34
2022-11-18,159.59
2022-11-21,159.79
2022-11-22,160.6
2022-11-23,158.05
2022-11-24,159.93
2022-11-25,155.21
2022-11-28,155.09
2022-11-29,151.77
2022-11-30,150.05
2022-12-01,150.24
2022-12-02,147.97
2022-12-05,147.01
2022-12-06,149.73
2022-12-07,148.23
2022-12-08,150.52
2022-12-09,147.52
2022-12-12,148.99
2022-12-13,152.91
2022-12-14,146.17
2022-12-15,144.13
2022-12-16,145.69
2022-12-19,145.21
2022-12-20,146.24
2022-12-21,144.71
2022-12-22,144.99
2022-12-23,144.65
2022-12-26,147.74
2022-12-27,148.48
2022-12-28,149.44
2022-12-29,148.39
2022-12-30,147.15
2023-01-02,146.06
2023-01-03,147.16
2023-01-04,146.1
2023-01-05,146.92
2023-01-06,152.47
2023-01-09,154.92
2023-01-10,154.08
2023-01-11,157.47
2023-01-12,156.37
2023-01-13,150.7
2023-01-16,148.03
2023-01-17,143.1
2023-01-18,142.25
2023-01-19,142.36
2023-01-20,146.71
2023-01-23,147.63
2023-01-24,147.11
2023-01-25,149.36
2023-01-26,143.48
2023-01-27,144.14
2023-01-30,146.2
2023-01-31,142.37
2023-02-01,145.36
2023-02-02,146.3
2023-02-03,145.27
2023-02-06,146.98
2023-02-07,153.04
2023-02-08,153.61
2023-02-09,154.35
2023-02-10,153.14
2023-02-13,150.86
2023-02-14,153.17
2023-02-15,150.87
2023-02-16,151.13
2023-02-17,149.89
2023-02-20,151.24
2023-02-21,152.21
2023-02-22,155.12
2023-02-23,153.75
2023-02-24,153.07
2023-02-27,150.43
2023-02-28,149.29
2023-03-01,150.36
2023-03-02,152.47
2023-03-03,150.0
2023-03-06,152.41
2023-03-07,156.19
2023-03-08,157.41
2023-03-09,162.8
2023-03-10,160.59
2023-03-13,157.06
2023-03-14,152.09
2023-03-15,156.25
2023-03-16,158.15
2023-03-17,158.06
2023-03-20,158.92
2023-03-21,155.76
2023-03-22,162.68
2023-03-23,163.13
2023-03-24,163.51
2023-03-27,165.71
2023-03-28,167.21
2023-03-29,167.96
2023-03-30,165.63
2023-03-31,167.1
2023-04-03,172.83
2023-04-04,177.09
2023-04-05,182.24
2023-04-06,180.63
2023-04-07,177.49
2023-04-10,177.16
2023-04-11,177.4
2023-04-12,180.97
2023-04-13,175.53
2023-04-14,180.43
2023-04-17,179.99
2023-04-18,178.68
2023-04-19,175.5
2023-04-20,170.34
2023-04-21,172.93
2023-04-24,173.23
2023-04-25,169.27
2023-04-26,165.4
2023-04-27,164.46
2023-04-28,169.47
2023-05-01,168.75
2023-05-02,164.25
2023-05-03,163.59
2023-05-04,162.85
2023-05-05,155.01
2023-05-08,154.92
2023-05-09,154.34
2023-05-10,156.33
2023-05-11,161.6
2023-05-12,164.94
2023-05-15,164.21
2023-05-16,161.0
2023-05-17,168.53
2023-05-18,168.77
2023-05-19,168.88
2023-05-22,168.88
2023-05-23,169.55
2023-05-24,169.17
2023-05-25,167.49
2023-05-26,165.91
2023-05-29,165.88
2023-05-30,164.32
2023-05-31,162.28
2023-06-01,162.66
2023-06-02,161.98
2023-06-05,166.43
2023-06-06,158.55
2023-06-07,161.73
2023-06-08,165.42
2023-06-09,159.31
2023-06-12,158.4
2023-06-13,157.4
2023-06-14,153.47
2023-06-15,151.39
2023-06-16,148.42
2023-06-19,153.16
2023-06-20,155.8
2023-06-21,159.43
2023-06-22,161.57
2023-06-23,158.35
2023-06-26,156.92
2023-06-27,158.36
2023-06-28,154.94
2023-06-29,156.99
2023-06-30,156.37
2023-07-03,155.38
2023-07-04,157.43
2023-07-05,158.75
2023-07-06,157.79
2023-07-07,161.14
2023-07-10,158.07
2023-07-11,159.89
2023-07-12,161.66
2023-07-13,160.82
2023-07-14,161.83
2023-07-17,158.25
2023-07-18,160.95
2023-07-19,160.47
2023-07-20,159.03
2023-07-21,162.1
2023-07-24,160.11
2023-07-25,156.11
2023-07-26,151.8
2023-07-27,153.52
2023-07-28,150.04
2023-07-31,154.84
2023-08-01,149.1
2023-08-02,153.71
2023-08-03,154.35
2023-08-04,154.15
2023-08-07,152.7
2023-08-08,153.86
2023-08-09,153.81
